source,length,rep,hvg_algorithm,time_in_seconds
linear_trend_2.6,131072,3,dual_tree_hvg,0.7488346269819885
linear_trend_2.6,131072,4,dual_tree_hvg,0.9217701239977032
linear_trend_2.6,131072,5,dual_tree_hvg,0.9889930159552023
linear_trend_2.6,131072,6,dual_tree_hvg,0.6064567000139505
linear_trend_2.6,131072,7,dual_tree_hvg,0.9281493329908699
linear_trend_2.6,131072,8,dual_tree_hvg,0.7402624660171568
linear_trend_2.6,131072,9,dual_tree_hvg,1.1197276029270142
linear_trend_2.8,131072,0,dual_tree_hvg,0.7594118859851733
linear_trend_2.8,131072,1,dual_tree_hvg,0.9978222720092162
linear_trend_2.8,131072,2,dual_tree_hvg,0.7607124500209466
linear_trend_2.8,131072,3,dual_tree_hvg,0.8448341510957107
linear_trend_2.8,131072,4,dual_tree_hvg,0.8391474490053952
linear_trend_2.8,131072,5,dual_tree_hvg,0.7916108630597591
linear_trend_2.8,131072,6,dual_tree_hvg,0.8142992299981415
linear_trend_2.8,131072,7,dual_tree_hvg,0.57952511892654
linear_trend_2.8,131072,8,dual_tree_hvg,0.9628992700017989
linear_trend_2.8,131072,9,dual_tree_hvg,0.7371314479969442
linear_trend_3.0,131072,0,dual_tree_hvg,0.8947786660864949
linear_trend_3.0,131072,1,dual_tree_hvg,0.8499824330210686
linear_trend_3.0,131072,2,dual_tree_hvg,0.8995484820334241
linear_trend_3.0,131072,3,dual_tree_hvg,0.769107504049316
linear_trend_3.0,131072,4,dual_tree_hvg,0.9678244120441377
linear_trend_3.0,131072,5,dual_tree_hvg,0.9582394560566172
linear_trend_3.0,131072,6,dual_tree_hvg,0.7776773689547554
linear_trend_3.0,131072,7,dual_tree_hvg,0.7807360049337149
linear_trend_3.0,131072,8,dual_tree_hvg,0.7194487699307501
linear_trend_3.0,131072,9,dual_tree_hvg,0.7510382600594312
seasonal_frequency_1.0,131072,0,dual_tree_hvg,0.7835405089426786
seasonal_frequency_1.0,131072,1,dual_tree_hvg,0.6894684090511873
seasonal_frequency_1.0,131072,2,dual_tree_hvg,0.6983479739865288
seasonal_frequency_1.0,131072,3,dual_tree_hvg,0.6994698389898986
seasonal_frequency_1.0,131072,4,dual_tree_hvg,0.7176871109986678
seasonal_frequency_1.0,131072,5,dual_tree_hvg,0.7575979339890182
seasonal_frequency_1.0,131072,6,dual_tree_hvg,0.7557474150089547
seasonal_frequency_1.0,131072,7,dual_tree_hvg,0.7903975170338526
seasonal_frequency_1.0,131072,8,dual_tree_hvg,0.6681325510144234
seasonal_frequency_1.0,131072,9,dual_tree_hvg,0.7731240630382672
seasonal_frequency_1.2,131072,0,dual_tree_hvg,0.8491944570560008
seasonal_frequency_1.2,131072,1,dual_tree_hvg,0.7321409629657865
seasonal_frequency_1.2,131072,2,dual_tree_hvg,0.7008279700530693
seasonal_frequency_1.2,131072,3,dual_tree_hvg,0.7386544600594789
seasonal_frequency_1.2,131072,4,dual_tree_hvg,0.7124652169877663
seasonal_frequency_1.2,131072,5,dual_tree_hvg,0.7701133410446346
seasonal_frequency_1.2,131072,6,dual_tree_hvg,0.8313944999827072
seasonal_frequency_1.2,131072,7,dual_tree_hvg,0.8341780630871654
seasonal_frequency_1.2,131072,8,dual_tree_hvg,0.8146237059263512
seasonal_frequency_1.2,131072,9,dual_tree_hvg,0.7556157959625125
seasonal_frequency_1.4,131072,0,dual_tree_hvg,0.8146903160959482
seasonal_frequency_1.4,131072,1,dual_tree_hvg,0.8234569620108232
seasonal_frequency_1.4,131072,2,dual_tree_hvg,0.7968509889906272
seasonal_frequency_1.4,131072,3,dual_tree_hvg,0.7476229249732569
seasonal_frequency_1.4,131072,4,dual_tree_hvg,0.7525876049185172
seasonal_frequency_1.4,131072,5,dual_tree_hvg,0.7582959800492972
seasonal_frequency_1.4,131072,6,dual_tree_hvg,0.8382696419721469
seasonal_frequency_1.4,131072,7,dual_tree_hvg,0.8184703890001401
seasonal_frequency_1.4,131072,8,dual_tree_hvg,0.7822293400531635
seasonal_frequency_1.4,131072,9,dual_tree_hvg,0.8102320930920541
seasonal_frequency_1.6,131072,0,dual_tree_hvg,0.8511712370673195
seasonal_frequency_1.6,131072,1,dual_tree_hvg,0.7202596589922905
seasonal_frequency_1.6,131072,2,dual_tree_hvg,0.89428012794815
seasonal_frequency_1.6,131072,3,dual_tree_hvg,0.7540350089548156
seasonal_frequency_1.6,131072,4,dual_tree_hvg,0.8414668129989877
seasonal_frequency_1.6,131072,5,dual_tree_hvg,0.9506955390097573
seasonal_frequency_1.6,131072,6,dual_tree_hvg,0.8509091780288145
seasonal_frequency_1.6,131072,7,dual_tree_hvg,0.8607657939428464
seasonal_frequency_1.6,131072,8,dual_tree_hvg,0.8398534079315141
seasonal_frequency_1.6,131072,9,dual_tree_hvg,0.6396938730031252
seasonal_frequency_1.8,131072,0,dual_tree_hvg,0.8541052079526708
seasonal_frequency_1.8,131072,1,dual_tree_hvg,0.8611899940297008
seasonal_frequency_1.8,131072,2,dual_tree_hvg,0.927813651971519
seasonal_frequency_1.8,131072,3,dual_tree_hvg,0.7305413030553609
seasonal_frequency_1.8,131072,4,dual_tree_hvg,0.9153107069432735
seasonal_frequency_1.8,131072,5,dual_tree_hvg,0.9114456679672003
seasonal_frequency_1.8,131072,6,dual_tree_hvg,0.8548842651071027
seasonal_frequency_1.8,131072,7,dual_tree_hvg,0.7000137540744618
seasonal_frequency_1.8,131072,8,dual_tree_hvg,0.7662283229874447
seasonal_frequency_1.8,131072,9,dual_tree_hvg,0.8257762070279568
seasonal_frequency_2.0,131072,0,dual_tree_hvg,0.6912701170658693
seasonal_frequency_2.0,131072,1,dual_tree_hvg,0.7357045180397108
seasonal_frequency_2.0,131072,2,dual_tree_hvg,0.8675998189719394
seasonal_frequency_2.0,131072,3,dual_tree_hvg,0.9727948650252074
seasonal_frequency_2.0,131072,4,dual_tree_hvg,0.7607442389708012
seasonal_frequency_2.0,131072,5,dual_tree_hvg,0.9291573039954528
seasonal_frequency_2.0,131072,6,dual_tree_hvg,0.7066341940080747
seasonal_frequency_2.0,131072,7,dual_tree_hvg,0.7730620409129187
seasonal_frequency_2.0,131072,8,dual_tree_hvg,0.8133935160003603
seasonal_frequency_2.0,131072,9,dual_tree_hvg,0.7743748490465805
seasonal_frequency_2.2,131072,0,dual_tree_hvg,0.7685777239967138
seasonal_frequency_2.2,131072,1,dual_tree_hvg,0.9095837339991704
seasonal_frequency_2.2,131072,2,dual_tree_hvg,0.6165056180907413
seasonal_frequency_2.2,131072,3,dual_tree_hvg,0.7468073519412428
seasonal_frequency_2.2,131072,4,dual_tree_hvg,0.5236343949800357
seasonal_frequency_2.2,131072,5,dual_tree_hvg,0.581152645056136
seasonal_frequency_2.2,131072,6,dual_tree_hvg,0.7185381370363757
